Construction,Who suggested it,Is it a construction?,Status (present in Constructicon or not),Comments,Scholarly description if there is any,Freq in the RNC
Х куда глупей У-а,EV (O'Neill's plays),,,,,
уж коли сам Х ничего сделать не может,EV (O'Neill's plays),,,,,
"кто бы рассуждал о У, только не Х",EV (O'Neill's plays),,,,,
"если Х-у угодно, У никогда не был Z-ом",EV (O'Neill's plays),,,,,
сколько Х Perf,EV (O'Neill's plays),,,,,
Х-у хорошо говорить,EV (O'Neill's plays),,,,,
а вы встаньте на Х-а место,EV (O'Neill's plays),,,,,
Х-у вдвойне одиного будет,EV (O'Neill's plays),,,,,
будь Х проклят Р,EV (O'Neill's plays),,,,,
почему бы Х-у не расстаться,EV (O'Neill's plays),,,,,
да ни за какие У-ы в мире,EV (O'Neill's plays),,,,,
занимайтесь сами этим У-ом,EV (O'Neill's plays),,,,,
У не для меня,EV (O'Neill's plays),,,,,
Х-у ничего не остается Inf,EV (O'Neill's plays),,,,,
И смотри - imper,EV (O'Neill's plays),,,,,
а почему бы Х-у не взять У,EV (O'Neill's plays),,,,,
"и раз Х не возражает, Р",EV (O'Neill's plays),,,,,
"Если Х сказал Р, - значит, Р",EV (O'Neill's plays),,,,,
"сдается мне, Р",EV (O'Neill's plays),,,,,
Х не то хотел Р,EV (O'Neill's plays),,,,,
Х не хуже У-а знает Р,EV (O'Neill's plays),,,,,
"и сам знает, что Р",EV (O'Neill's plays),,,,,
"думай Р, что хочешь",EV (O'Neill's plays),,,,,
Х-а не обманешь,EV (O'Neill's plays),,,,,
словно Х не понимает Р,EV (O'Neill's plays),,,,,
Х сам не знает Р,EV (O'Neill's plays),,,,,
на Х-а месте,EV (O'Neill's plays),,,,,
"помолчи, Х",EV (O'Neill's plays),,,,,
Х ошибается,EV (O'Neill's plays),,,,,
Х-у все равно,EV (O'Neill's plays),,,,,
"столько У-а, что Р",EV (O'Neill's plays),,,,,
Х мне больше не Р,EV (O'Neill's plays),,,,,
чтобы Х больше У-а не видел,EV (O'Neill's plays),,,,,
чтоб к утру духу Х-а не было,EV (O'Neill's plays),,,,,
не смей брать Х с собой,EV (O'Neill's plays),,,,,
а возьмешь - Р,EV (O'Neill's plays),,,,,
чтобы завтра утром Х-а не было,EV (O'Neill's plays),,,,,
"что Р, то Р",EV (O'Neill's plays),,,,,
брать Х-а - ваше дело,EV (O'Neill's plays),,,,,
"Х не боится ни У, ни Z",EV (O'Neill's plays),,,,,
не забудь Inf,EV (O'Neill's plays),,,,,
хватит с меня всяких Р,EV (O'Neill's plays),,,,,
было бы еще Adj,EV (O'Neill's plays),,,,,
Х-у остается только Р,EV (O'Neill's plays),,,,,
неужели не Р,EV (O'Neill's plays),,,,,
какого Х свалял дурака,EV (O'Neill's plays),,,,,
нечего Inf,EV (O'Neill's plays),,,,,
Х наговорил по злобе,EV (O'Neill's plays),,,,,
пора Inf,EV (O'Neill's plays),,,,,
"Х так устал, словно Р",EV (O'Neill's plays),,,,,
нечего Х-у Inf,EV (O'Neill's plays),,,,,
Вечно Х опаздывает,EV (O'Neill's plays),,,,,
и ничего Х с этим поделать не может,EV (O'Neill's plays),,,,,
сколько раз Х У-у твердил,EV (O'Neill's plays),,,,,
куда там - Р,EV (O'Neill's plays),,,,,
Х только и ждет - Р,EV (O'Neill's plays),,,,,
"да что ты, Х, Р",EV (O'Neill's plays),,,,,
"Х У-у одно, а У назло другое Р",EV (O'Neill's plays),,,,,
все равно у Х-а Р,EV (O'Neill's plays),,,,,
Х-у не везет,EV (O'Neill's plays),,,,,
"говори, что хочешь, Х",EV (O'Neill's plays),,,,,
нет-нет да и Р,EV (O'Neill's plays),,,,,
каков у Х-а У?,EV (O'Neill's plays),,,,,
"Х что, позволит Р",EV (O'Neill's plays),,,,,
Х как раз собрались,EV (O'Neill's plays),,,,,
в глубине души Х Р,EV (O'Neill's plays),,,,,
весь в У-а,EV (O'Neill's plays),,,,,
"и вот, пожалуйста, Р",EV (O'Neill's plays),,,,,
Х хлоп и Р,EV (O'Neill's plays),,,,,
что же Х не Р,EV (O'Neill's plays),,,,,
оглохнуть можно от Р,EV (O'Neill's plays),,,,,
дай ты Х-у У,EV (O'Neill's plays),,,,,
хоть бы когда-нибудь Р,EV (O'Neill's plays),,,,,
будто у Х-а дургих дел нет,EV (O'Neill's plays),,,,,
"верно, опять Р",EV (O'Neill's plays),,,,,
будь у Х-а хоть Р,EV (O'Neill's plays),,,,,
"ну и жди Х-а, Р",EV (O'Neill's plays),,,,,
"посмотрим, что Х запоет!",EV (O'Neill's plays),,,,,
Х тебе только спасибо скажет за это,EV (O'Neill's plays),,,,,
какой-то Х сейчас?,EV (O'Neill's plays),,,,,
хоть за У возьмется,EV (O'Neill's plays),,,,,
без Х-а знаем,EV (O'Neill's plays),,,,,
дела у Х-а плохи,EV (O'Neill's plays),,,,,
чего Х все ноет?,EV (O'Neill's plays),,,,,
Х что тебе говорил?,EV (O'Neill's plays),,,,,
"Вот приедет Х, и Р",EV (O'Neill's plays),,,,,
Х умирает от У-а,EV (O'Neill's plays),,,,,
на кого Х похож?,EV (O'Neill's plays),,,,,
"можно подумать, Х не имеет права",EV (O'Neill's plays),,,,,
не до У-а,EV (O'Neill's plays),,,,,
ну что Х говорил,EV (O'Neill's plays),,,,,
оставь Х в покое!,EV (O'Neill's plays),,,,,
не смей Х-а шлепать,EV (O'Neill's plays),,,,,
Х запрещает,EV (O'Neill's plays),,,,,
понятно Х-у?,EV (O'Neill's plays),,,,,
Р на неделю хватит,EV (O'Neill's plays),,,,,
"только соберусь Р1, а тут Р2",EV (O'Neill's plays),,,,,
Р - самый раз,EV (O'Neill's plays),,,,,
"Р- так, что ли?",EV (O'Neill's plays),,,,,
мало у Х-а забот?,EV (O'Neill's plays),,,,,
поможешь Х-у - Р,EV (O'Neill's plays),,,,,
"ну, Х, чего тебе?",EV (O'Neill's plays),,,,,
работник Х что надо,EV (O'Neill's plays),,,,,
"Р, что мне причитается",EV (O'Neill's plays),,,,,
Х должен бы уже Р,EV (O'Neill's plays),,,,,
"не верится, чтобы Х-у Р",EV (O'Neill's plays),,,,,
чего Х только не насмотрелся!,EV (O'Neill's plays),,,,,
"Х бы все бросил, только чтобы не видеть Р",EV (O'Neill's plays),,,,,
"Р, больше нечего",EV (O'Neill's plays),,,,,
так нет же - Р,EV (O'Neill's plays),,,,,
смотреть мне на Х-а противно!,EV (O'Neill's plays),,,,,
если бы Х только Р,EV (O'Neill's plays),,,,,
Х бы не был таким дураком,EV (O'Neill's plays),,,,,
"что Х за птица, Р",EV (O'Neill's plays),,,,,
угораздило же Х У-а выбрать,EV (O'Neill's plays),,,,,
"месяца не прошло, как Х раскаялся",EV (O'Neill's plays),,,,,
"не то, чтобы Х не Р",EV (O'Neill's plays),,,,,
"не будь Х-а, Р",EV (O'Neill's plays),,,,,
Х любит У,EV (O'Neill's plays),,,,,
ты не надоедай У-у,EV (O'Neill's plays),,,,,
Вот Х где!,EV (O'Neill's plays),,,,,
и больше Х уже не мечтает,EV (O'Neill's plays),,,,,
"Р, так, что ли?",EV (O'Neill's plays),,,,,
о У-е только и слышу,EV (O'Neill's plays),,,,,
"что делать, Р",EV (O'Neill's plays),,,,,
"Х и не воображал, что Р",EV (O'Neill's plays),,,,,
"еле выбрались, но Р как не бывало",EV (O'Neill's plays),,,,,
"ни Р1, ни Р2",EV (O'Neill's plays),,,,,
Р - того и гляди,EV (O'Neill's plays),,,,,
Х-а бы сюда - Р,EV (O'Neill's plays),,,,,
"это что, тоже Р",EV (O'Neill's plays),,,,,
Р связываться бы не стал!,EV (O'Neill's plays),,,,,
ноги моей Р не будет,EV (O'Neill's plays),,,,,
не хотел бы Х снова Р,EV (O'Neill's plays),,,,,
"судя по Р, Р2",EV (O'Neill's plays),,,,,
"Р, ничего не скажешь",EV (O'Neill's plays),,,,,
вот это У!,EV (O'Neill's plays),,,,,
Х знает толко в У-е,EV (O'Neill's plays),,,,,
"что ты, Х?",EV (O'Neill's plays),,,,,
"вот что, Х. Р",EV (O'Neill's plays),,,,,
Р не так ж плохо,EV (O'Neill's plays),,,,,
если б Х был один!,EV (O'Neill's plays),,,,,
как Х-у сказать?,EV (O'Neill's plays),,,,,
Х бы ни за что не Р,EV (O'Neill's plays),,,,,
теперь-то Х понимает,EV (O'Neill's plays),,,,,
а куда девался Х?,EV (O'Neill's plays),,,,,
"должно быть, Р",EV (O'Neill's plays),,,,,
вот и Х!,EV (O'Neill's plays),,,,,
"Х, видимо, испугалась, что Р",EV (O'Neill's plays),,,,,
Х не так плох,EV (O'Neill's plays),,,,,
что Х говорит?,EV (O'Neill's plays),,,,,
и зачем бы Х стал Р?,EV (O'Neill's plays),,,,,
"ах, вот Х о чем!",EV (O'Neill's plays),,,,,
Х сказал У-у то же самое,EV (O'Neill's plays),,,,,
"Р, а почему нет?",EV (O'Neill's plays),,,,,
Х не ожидал от У-а Р,EV (O'Neill's plays),,,,,
"Х не видел, Р",EV (O'Neill's plays),,,,,
дай Р,EV (O'Neill's plays),,,,,
"вот не думал, что Р",EV (O'Neill's plays),,,,,
Х-у везет,EV (O'Neill's plays),,,,,
в конце концов Р,EV (O'Neill's plays),,,,,
Р решено,EV (O'Neill's plays),,,,,
"чем скорее Р1, тем скорее Р2",EV (O'Neill's plays),,,,,
Р не с пустыми руками,EV (O'Neill's plays),,,,,
Х и забыл! Вот дурак,EV (O'Neill's plays),,,,,
"а ты скоро, Х?",EV (O'Neill's plays),,,,,
Х-у уже пора Inf,EV (O'Neill's plays),,,,,
"кто знает, Р",EV (O'Neill's plays),,,,,
как же Х-а не Р,EV (O'Neill's plays),,,,,
сколько раз Х тебе Р,EV (O'Neill's plays),,,,,
чертов невежда Х,EV (O'Neill's plays),,,,,
не все ли равно Р,EV (O'Neill's plays),,,,,
"ты что, сама никогда не Р",EV (O'Neill's plays),,,,,
а Х никак не мог Inf,EV (O'Neill's plays),,,,,
Р чуть не до тысячи,EV (O'Neill's plays),,,,,
Х отчаялся Inf,EV (O'Neill's plays),,,,,
не так уж Р,EV (O'Neill's plays),,,,,
"если бы Х знал, Р",EV (O'Neill's plays),,,,,
это Х-у лучше всего,EV (O'Neill's plays),,,,,
разве А-й Х у У удержится,EV (O'Neill's plays),,,,,
и надо же было Х-у Р,EV (O'Neill's plays),,,,,
а о Х кто Р,EV (O'Neill's plays),,,,,
"а хотел бы Х знать, Р",EV (O'Neill's plays),,,,,
что о Х подумает У?,EV (O'Neill's plays),,,,,
разрешите ваш У,EV (O'Neill's plays),,,,,
"Р, что слишком горд, что Р",EV (O'Neill's plays),,,,,
разве Х не Р,EV (O'Neill's plays),,,,,
"достаточно было взгляда, чтобы",EV (O'Neill's plays),,,,,
"Р, если б Х только знал",EV (O'Neill's plays),,,,,
Х кругом в долгах,EV (O'Neill's plays),,,,,
"Р, как же Х не дал У-у знать?",EV (O'Neill's plays),,,,,
"слишком горд, чтобы Р",EV (O'Neill's plays),,,,,
"счастье, что Р",EV (O'Neill's plays),,,,,
"Р, пока не поздно",EV (O'Neill's plays),,,,,
но Х-у все было мало,EV (O'Neill's plays),,,,,
"как многие идиоты, Р",EV (O'Neill's plays),,,,,
но если бы можно было Р,EV (O'Neill's plays),,,,,
"ни слова Х-у о том, что Р",EV (O'Neill's plays),,,,,
во что бы то ни стало,EV (O'Neill's plays),,,,,
"чудо, что Р",EV (O'Neill's plays),,,,,
если что и возможно было Р,EV (O'Neill's plays),,,,,
Х не перенесет дороги,EV (O'Neill's plays),,,,,
и что Х как маленький,EV (O'Neill's plays),,,,,
Х лучш здесь Р,EV (O'Neill's plays),,,,,
"Р - Х сейчас же встанет, как только Р",EV (O'Neill's plays),,,,,
"Р, хотя дела были плохи",EV (O'Neill's plays),,,,,
"Р, и так не похож на Х",EV (O'Neill's plays),,,,,
Х всегда был оптимистом,EV (O'Neill's plays),,,,,
"Уснуть Х не уснет, но Р",EV (O'Neill's plays),,,,,
"Р, мне хочется побыть одному",EV (O'Neill's plays),,,,,
"если Х и бредил немного, в том, что Р",EV (O'Neill's plays),,,,,
"Х и без того уверен, что Р",EV (O'Neill's plays),,,,,
отчасти из-за Х,EV (O'Neill's plays),,,,,
"с ее появлением, Р",EV (O'Neill's plays),,,,,
Х ничего не мог с собой поделать,EV (O'Neill's plays),,,,,
"да понимаешь ли ты, что Р",EV (O'Neill's plays),,,,,
как Х мог!,EV (O'Neill's plays),,,,,
и Х-у ни слова,EV (O'Neill's plays),,,,,
"и надо же, чтобы Р",EV (O'Neill's plays),,,,,
вот Х!,EV (O'Neill's plays),,,,,
а Х так и не сказал У-у,EV (O'Neill's plays),,,,,
это Х-а рук дело,EV (O'Neill's plays),,,,,
со временем Х поймет,EV (O'Neill's plays),,,,,
не в силах Р,EV (O'Neill's plays),,,,,
"может, Р?",EV (O'Neill's plays),,,,,
да и где найдешь Р,EV (O'Neill's plays),,,,,
"а Х-то как, сынок?",EV (O'Neill's plays),,,,,
хоть каплю У-а,EV (O'Neill's plays),,,,,
если уж только У,EV (O'Neill's plays),,,,,
что для Х-а какой-то А-й У,EV (O'Neill's plays),,,,,
что Х от У-а видел?,EV (O'Neill's plays),,,,,
"трое суток как Х на этом У, а Р",EV (O'Neill's plays),,,,,
"Р- все воду ищут, а Р",EV (O'Neill's plays),,,,,
"может, и Р",EV (O'Neill's plays),,,,,
Х как закричит на У-а,EV (O'Neill's plays),,,,,
откуда Х знает?,EV (O'Neill's plays),,,,,
"как-никак, а Р",EV (O'Neill's plays),,,,,
Х с У еще будет дома,EV (O'Neill's plays),,,,,
только Р - так Р2,EV (O'Neill's plays),,,,,
смотри подальше от Х-а,EV (O'Neill's plays),,,,,
"если произнесешь У еще раз, Х,если только произнесешь хоть раз - Р",EV (O'Neill's plays),,,,,
Р и без того будут Р,EV (O'Neill's plays),,,,,
"Р Х-у, видите ли, Р",EV (O'Neill's plays),,,,,
Х-у бы первому жаловаться на У,EV (O'Neill's plays),,,,,
"Р, да что в этом толку?",EV (O'Neill's plays),,,,,
Р - Х стоит золота,EV (O'Neill's plays),,,,,
"Р- да, это вещь",EV (O'Neill's plays),,,,,
Х не ошибся,EV (O'Neill's plays),,,,,
не то и Х Р,EV (O'Neill's plays),,,,,
самое время после Р,EV (O'Neill's plays),,,,,
Р и столько А-й У,EV (O'Neill's plays),,,,,
о чем это Х?,EV (O'Neill's plays),,,,,
Р ни слуху ни духу,EV (O'Neill's plays),,,,,
Р никогда у Х из головы не выходил,EV (O'Neill's plays),,,,,
Р - что бы Х-у поехать тогда с ним,EV (O'Neill's plays),,,,,
Р - без всякой карты,EV (O'Neill's plays),,,,,
"А ну, Р",EV (O'Neill's plays),,,,,
"может, Х и Р",EV (O'Neill's plays),,,,,
"подойди, Х сказал",EV (O'Neill's plays),,,,,
У это или нет?,EV (O'Neill's plays),,,,,
с минуту Р,EV (O'Neill's plays),,,,,
"это получше, чем Р",EV (O'Neill's plays),,,,,
"Р твердит, а ведь знает, Р",EV (O'Neill's plays),,,,,
"Х и того, тронулся",EV (O'Neill's plays),,,,,
"Р нет ножа, а то Х сам бы Р",EV (O'Neill's plays),,,,,
Р бы только,EV (O'Neill's plays),,,,,
вроде А-й У,EV (O'Neill's plays),,,,,
"Р, как по-твоему?",EV (O'Neill's plays),,,,,
пять-шесть миль Р,EV (O'Neill's plays),,,,,
везет Х-у сегодня,EV (O'Neill's plays),,,,,
а скорей всего - Р,EV (O'Neill's plays),,,,,
по-вашему - Р,EV (O'Neill's plays),,,,,
"погодите, Р1, Р2",EV (O'Neill's plays),,,,,
ну как - Р?,EV (O'Neill's plays),,,,,
этот Х Р,EV (O'Neill's plays),,,,,
"Р, а Х знал, что это",EV (O'Neill's plays),,,,,
