Cx ID,FB entry,ConstrName,Example,Pattern,Comment1,Comment2,Comment3,Source
14443,брать i15,99i15_брать расчет у кого-л.,,Snom V расчет у + Sgen,,,,APphras
14444,брать i16,99i16_брать уроки у кого-л.,,Snom V уроки у + Sgen,,,,APphras
14445,брать i17,99i17_брать что-л. во внимание/в расчет/в соображение,,Snom V {во + внимание / в + расчет / в + соображение} {Sacc / что + CL},<книжн.>,,,APphras
14446,брать i18,99i18_брать кого-л. в оборот,,Snom V Sacc в + оборот,,,,APphras
14447,брать i19,99i19_не брать в рот чего-л.,,Snom не V в + рот Sgen,,,,APphras
14430,брать i2,99i2_брать волю,,Snom V волю,,,,APphras
14448,брать i20,99i20_брать быка за рога,,Snom V быка за + рога,,,,APphras
14449,брать i21,99i21_брать кого-л. за бока,,Snom V Sacc за + бока,,,,APphras
14450,брать i22,99i22_брать кого-л. за глотку/за горло,,Snom V Sacc {за + глотку / за + горло},,,,APphras
14451,брать i23,99i23_брать кого-л. за душу/за живое/за сердце,,Snom V Sacc {за + душу / за + живое / за + сердце},,,,APphras
14452,брать i24,99i24_брать кого-л. за жабры,,Snom V Sacc за + жабры,,,,APphras
14453,брать i25,99i25_брать кого-что-л. на борт,,Snom V Sacc на + борт,,,,APphras
14454,брать i26,99i26_брать кого-л. на буксир,,Snom V Sacc на + буксир,<см тж. 22.>,,,APphras
14455,брать i27,99i27_брать кого-л. на испуг,,Snom V Sacc на + испуг,,,,APphras
14456,брать i28,99i28_брать кого-л. на мушку/на прицел,,Snom V Sacc {на + мушку / на + прицел},,,,APphras
14457,брать i29,99i29_брать на себя смелость (сделать что-л.),,Snom V на + себя смелость [Vinf],сделать,,,APphras
14431,брать i3,99i3_брать курс/направление на восток,,Snom V {курс / направление} на + Sacc,,,,APphras
14458,брать i30,99i30_(чересчур) много брать на себя,,Snom [чересчур] много V на + себя,,,,APphras
14459,брать i31,99i31_брать кого-л. под крылышко,,Snom V Sacc под + крылышко,,,,APphras
14460,брать i32,99i32_брать кого-л. голыми руками,,Snom V Sacc голыми + руками,,,,APphras
14461,брать i33,99i33_брать кого-л. измором,,Snom V Sacc измором,,,,APphras
14462,брать i34,99i34_брать верх над кем-л.,,Snom V верх над + Sins,,,,APphras
14463,брать i35,99i35_брать что-л. (себе) за правило,,Snom V [себе] за + правило {Sacc / Vinf / что + CL},,,,APphras
14464,брать i36,99i36_наша / ваша берет,,{наша / ваша} V,,,,APphras
14432,брать i4,99i4_брать ноту,,Snom V ноту,,,,APphras
14433,брать i5,99i5_брать отпуск,,Snom V отпуск,,,,APphras
14434,брать i6,99i6_брать свое,,Snom V свое,,,,APphras
14435,брать i7,99i7_брать слово,,Snom V слово в + Sloc,(в прениях),,,APphras
14436,брать i8,99i8_брать чью-л. сторону,,Snom V APROacc + сторону,,,,APphras
14437,брать i9,99i9_брать под козырек,,Snom V под + козырек,,,,APphras
14465,браться  2i.1,2i1_браться за ум,,Snom V за + ум,,,СВ взяться,olesar
14466,брить i1,99i1_брить всех под одну гребенку,,Snom V всех под + одну + гребенку,,,обычно НВ,APphras
14467,бродить i1,99i1_бродить в потемках,,Snom V в + потемках,,,,APphras
14468,бросать i1,99i1_бросать деньги/деньгами,,Snom V {деньги / деньгами},,,СВ нет,APphras
14477,бросать i10,99i10_бросать свет на что-л.,,Snom V свет на + Sacc,,,обычно НВ,APphras
14478,бросать i11,99i11_бросать тень на что-л.,,Snom V тень на + Sacc,,,,APphras
14469,бросать i2,99i2_бросать жребий,,Snom V жребий,,,,APphras
14470,бросать i3,99i3_бросать оружие,,Snom V оружие,,,,APphras
14471,бросать i4,99i4_бросать перчатку кому-л.,,Snom V перчатку Sdat,,,,APphras
14472,бросать i5,99i5_бросать камень в кого-л.,,Snom V камень в + Sacc,,,,APphras
14473,бросать i6,99i6_бросать камешки в чей-л. огород,,Snom V камешки в + APROacc + огород,,,,APphras
14474,бросать i7,99i7_бросать деньги на ветер,,Snom V деньги на + ветер,,,,APphras
14475,бросать i8,99i8_бросать кого-что-л. на произвол судьбы,,Snom V Sacc на + произвол + судьбы,,,,APphras
14476,бросать i9,99i9_бросать слова на ветер,,Snom V слова на + ветер,,,обычно НВ,APphras
14479,бросаться i1,99i1_бросаться словами / обещаниями,,Snom V {словами / обещаниями},,,СВ нет,APphras
14480,бросаться i2,99i2_бросаться со всех ног,,Snom V со + всех + ног Vinf,,,,APphras
14481,бросаться i3,99i3_бросаться в глаза кому-л.,,Snom V в + глаза Sdat,,,,APphras
14482,бросаться i4,99i4_бросаться в голову кому-л.,,Snom V в + голову Sdat,(вино),,,APphras
14483,бросаться i5,99i5_бросаться в лицо кому-л.,,Snom V в + лицо Sdat,(краска стыда),,,APphras
14484,бросаться i6,99i6_бросаться на колени перед кем-л.,,Snom V на + колени перед + Sins,,,,APphras
19236,бубнить 1.11i,1.11_Не бубни как пономарь.,Не бубни как пономарь.,Snom V как пономарь,-,,СВ нет,olesar
14485,бывать i1,99i1_кого-чего-л. как не бывало,,Sgen как не Vimpers,,,,APphras
14486,бывать i2,99i2_как ни в чем не бывало,,как ни в + чем не Vimpers CL,,,,APphras
14487,бывать i3,99i3_ничуть не бывало!,,ничуть не Vimpers CL,,,,APphras
14488,быть 4.6i,"4.6i_быть может, CL","Быть может, я умру.","быть может, CL",,,СВ нет,olesar
14497,быть i10,99i10_будь что будет,,будь что будет CL,,,,APphras
14498,быть i11,"99i11_что будет, то будет",,"что будет, то будет",,,,APphras
14489,быть i2,99i2_должно быть,,"должно быть, CL",,,,APphras
14490,быть i3,99i3_быть по сему,,быть по + сему CL,,,,APphras
14491,быть i4,99i4_была не была!,,"была не была, CL",,,,APphras
14492,быть i5,99i5_стало быть,,"стало быть, CL",,,,APphras
14493,быть i6,99i6_быть на чьей-л. стороне,,Snom быть на + Aloc + стороне,,,,APphras
14494,быть i7,99i7_так и быть,,так и быть CL,,,,APphras
14495,быть i8,99i8_как быть?,,как быть?,,,,APphras
14496,быть i9,99i9_и был таков,,Snom и был таков,,,,APphras
14499,валить i1,99i1_валить все в одну кучу,,Snom V все в + одну + кучу,,,СВ нет,APphras
14500,валить i2,99i2_валить через пень колоду,,Snom V через + пень + колоду,,,СВ нет,APphras
14501,валить i3,99i3_валить с больной головы на здоровую,,Snom V с + больной + головы на + здоровую,,,СВ нет,APphras
14502,валиться i1,99i1_что-л. валится из рук (у кого-л.),,Snom V из + рук [у + Sacc],,,,APphras
14503,валиться i2,99i2_валиться в ноги/в ноженьки кому-л.,,Snom V {в + ноги / в + ноженьки} Sdat,,,,APphras
14504,валиться i3,99i3_что-л. [не] валится с неба / с потолка,,Snom [не] V {с + неба / с + потолка},,,,APphras
14505,валиться i4,99i4_На бедного Макара все шишки валятся,,на + бедного + Макара все + шишки V,,,,APphras
14506,валяться i1,99i1_валяться в ногах у кого-л.,,Snom V в + ногах у + Sgen,,,,APphras
14507,валяться i2,99i2_что-л. на дороге не валяется!,,Snom на + дороге не V,"(таланты, деньги, ...)",,,APphras
14508,варить i1,99i1_голова/башка/котелок у него варит,,{голова / башка / котелок} у + него V,<прост.>,,СВ нет,APphras
14509,ввести i1,99i1_ввести кого-л. в дом,,Snom V Sacc в + дом,,,,APphras
14510,ввести i2,99i2_ввести кого-л. в курс дела,,Snom V Sacc в + курс + дела,,,,APphras
14511,ввести i3,99i3_ввести что-л. в строй,,Snom V Sacc в + строй,,,,APphras
14512,ввести i4,99i4_ввести кого-л. в суть вопроса,,Snom V Sacc в + суть + вопроса,,,,APphras
14513,велеть i1,99i1_кто-л. велел долго жить,,Snom V долго жить,,,,APphras
14514,велеть i2,99i2_сам бог велел [с]делать что-л.,,сам + бог V Vinf,,,,APphras
14515,верить i1,99i1_не верить своим глазам / ушам,,Snom не V своим + {глазам / ушам},,,СВ поверить,APphras
14516,верить i2,99i2_верить кому-л. на слово,,Snom V Sdat на + слово,,,СВ поверить,APphras
14517,верить i3,99i3_верить кому-л. в долг,,Snom V Sdat в + долг,,,СВ поверить,APphras
14518,вести i1,99i1_и ухом не вести,,Snom и ухом не V,,,,APphras
14519,вести i2,99i2_вести себя как-л.,,Snom V себя ADV,,,,APphras
14520,вести i3,99i3_вести начало от чего-л.,,Snom V [свое] + начало от + Sgen,,,,APphras
14521,вести i4,99i4_вести свой род от кого-л.,,Snom V свой + род от + Sacc,,,,APphras
14522,вести i5,99i5_вести счет чему-л.,,Snom V счет Sdat,,,,APphras
14523,вести i6,99i6_вести речь к чему-л.,,Snom V речь к + Sdat,,,,APphras
18619,вешать 5.2i,5.2i_Сколько вешать в граммах?,Сколько вешать в граммах? Сколько вешать в штуках?,сколько _Vinf_ в + Sloc,-,,СВ нет,olesar
14524,вешать i1,99i1_вешать голову,,Snom V голову,,,,APphras
14525,вешать i2,99i2_вешать нос,,Snom V нос,,,,APphras
14526,вешать i3,99i3.1_вешать собак на кого-л.,,Snom V собак на + Sacc,,,,olesar
18609,вешать i3.2,99i3.2_Повесить вину на Джексона.,Повесить вину на Джексона.,Snom V Sacc на + Sacc,-,,СВ повесить,olesar
18617,вешать i3.3,99i3.3_вешать ярлыки на кого-л.,вешать ярлыки на кого-л.,Snom V ярлык на + Sacc,-,,СВ повесить,olesar
14527,вешать i4,99i4_хоть топор вешай,,CL хоть топор Vimper,,,СВ нет,APphras
18611,вешать i5.1,99i5.1_вешать лапшу на уши,Не вешай мне лапшу на уши.,Snom V лапшу на + уши Sdat,-,,СВ нет,olesar
18616,вешать i5.2,99i5.2_вешать нам лапшу на уши про американских ястребов.,Не надо вешать нам лапшу на уши про американских ястребов.,Snom V лапша на + уши Sdat про + Sacc,-,,СВ повесить,olesar
14528,взлететь i1,99i1_взлететь на воздух,,Snom V на + воздух,,,,APphras
14529,взять i1,99i1_не дорого возьмет,,Snom V не дорого возьмет,,,,APphras
14530,взять i2,99i2_черт возьми!,,черт возьми!,,,,APphras
14531,взять i3,99i3_с чего/откуда кто-л. взял?,,{с + чего / откуда} Snom взял?,,,,APphras
16163,взять i4,99i4_взять волю что-л. делать,,Snom V волю Vinf,,,,olesar
14532,взяться i1,99i1_откуда ни возьмись,,откуда ни возьмись CL,,,,APphras
14533,видеть i1,99i1_видишь ли / видите ли,,{видишь / видите} ли CL,,,,APphras
14542,видеть i10,99i10_видеть кого-что-л. во сне,,Snom V Sacc во + сне,,,,APphras
14543,видеть i11,99i11_видеть на два аршина в землю,,Snom V на + два + аршина в + землю,,,,APphras
18093,видеть i12,99i12_Вот видишь!,"Вот видишь, всё как я тебе говорил!",вот {видишь / видите} CL,-,,СВ нет,olesar
14534,видеть i2,99i2_как видите,,как Vimper CL,,,,APphras
14535,видеть i3,99i3_видеть сон,,Snom V сон,,,,APphras
14536,видеть i3,99i3_видеть его не могу,,Snom _Vinf_ не {могу / может / можешь / можете} {Sacc / Sgen / Rel + CL},,,,olesar
14537,видеть i5,99i5_только его и видели,,CL только {его / ее} и видели,,,,APphras
14538,видеть i6,99i6_спать и видеть что-л.,,Snom спать и V {Sacc / Vinf / как + бы + Vinf / как + CL / чтобы + CL},,,,APphras
14539,видеть i7,99i7_не видеть света,,Snom не V света,,,,APphras
14540,видеть i8,99i8_видеть кого-л. насквозь,,Snom V Sacc насквозь,,,,APphras
14541,видеть i9,99i9_видеть что-л. в розовом / мрачном свете,,Snom V Sacc в + {розовом / мрачном} + свете,,,,APphras
16363,висеть 99i6,99i6_Мы висели между небом и землей,"Мы как бы висели между небом и землей, чувствуя приближение смерти.",Snom V между небом и землей,-,"находиться в неопределенном, пограничном положении",-,janesudarikova
16364,висеть 99i7,99i7_На нем висят долги.,На большинстве государств висят еще старые советские долги. Над ним висит беда.,Snom V {ADV / PRгде + Sx},-,"нависать, угрожать своей близостью'",-,janesudarikova
14544,висеть i1,99i1_висеть в воздухе,,Snom V в + воздухе,,,,APphras
14545,висеть i2,99i2_висеть на волоске,,Snom V на + волоске,,,,APphras
14546,висеть i3,99i3_висеть на телефоне,,Snom V на + телефоне,<разг.>,,,APphras
14547,висеть i4,99i4_висеть над душой у кого-л.,,Snom V над + душой у + Sgen,,,,APphras
14548,висеть i5,99i5_висеть на шее у кого-л.,,Snom V на + шее у + Sgen,,,,APphras
14549,вить i1,99i1_вить веревки из кого-л.,,Snom V веревки из + Sacc,,,СВ нет,APphras
14550,владеть i1,99i1_владеть собой [своими чувствами],,Snom V {собой / своими + чувствами},,,,APphras
14551,вложить i1,99i1_вложить мысли / слова в уста кого-л.,,Snom V {мысли / слова} в + уста -> Sgen,,,,APphras
14552,внести i1,99i1_внести предложение (на обсуждение [на рассмотрение]),,Snom V предложение [{на + обсуждение / на + рассмотрение}],,,,APphras
18072,водить 99i2.2,99i2.2 Она водила тебя за уши,Тебя она за уши водит,Snom водить Sacc за+уши,-,,СВ вести,edzedzich
14553,водить i1,99i1_водить хороводы,,Snom V хороводы [вокруг + Sgen],,,,APphras
14554,водить i2,99i2_водить кого-л. за нос,,Snom V Sacc за + нос,,,,APphras
14555,водить i3,99i3_водить хлеб-соль с кем-л.,,Snom V хлеб-соль с + Sins,,,,APphras
14556,водить i4,99i4_водить кого-л. на помочах,,Snom V Sacc на + помочах,,,,APphras
18053,водить i5,99i5_водить экскурсии,Он стал водить экскурсии регулярно.,Snom _V_ экскурсии,-,,СВ нет,olesar
18087,водить i6,99i6 Он водит тебя (метафора),"Он, как опытный рыболов, поддел меня на крючок и водит.",Snom водить Sacc,метаф.,,СВ нет,olesar
18088,водить i7,"99i7 Он был пьян, его водило из стороны в сторону.",Машину водило из стороны в сторону.,Snom водить из + стороны + в + сторону,-,,СВ нет,olesar
18090,водить i8,99i8 Чувство водило за собой мысль,Чувство водило за собой мысль,Snom _V_ Sacc {за + Sinst},-,,-,edzedzich
14557,возвратить i1,99i1_возвратить кого-л. к жизни,,Snom V Sacc к + жизни,,,,APphras
14558,возвратить i2,99i2_возвратить кого — что-л. в строй,,Snom V Sacc в + строй,,,,APphras
14559,возвратиться i1,99i1_возвратиться в строй,,Snom V в + строй,,,,APphras
17702,возвращать i3,99i3_возвращать что-л. к жизни,возвращать православные храмы к жизни,Snom _V_ Sacc к + жизни,-,,СВ возвратить,olesar
14560,возить i1,99i1_возить воду на ком-л.,,Snom V воду на + Sloc,,,,APphras
14561,войти i1,99i1_войти в амбицию,,Snom V в + амбицию,,,,APphras
14570,войти i10,99i10_войти в пословицу,,Snom V в + пословицу,,,,APphras
14571,войти i11,99i11_войти в роль (наставника),,Snom V в + роль [-> Sgen],,,,APphras
14572,войти i12,99i12_войти в силу,,Snom V в + силу,,,,APphras
14573,войти i13,99i13_войти в доверие к кому-л.,,Snom V в + доверие к + Sdat,,,,APphras
14574,войти i14,99i14_войти в милость к кому-л.,,Snom V в + милость к + Sdat,,,,APphras
18077,войти i15,99i15_войти в голову кому-л.,войти в голову кому-л.,Snom _V_ в + голову Sdat,(ср. прийти кому-л. в голову),,СВ входить,olesar
14562,войти i2,99i2_войти во вкус (операций),,Snom V во + вкус [-> Sgen],,,,APphras
14563,войти i3,99i3_войти в возраст/в года/в лета,,Snom V {в + возраст / в + года / в + лета},<устар.>,,,APphras
14564,войти i4,99i4_войти в долги,,Snom V в + долги,,,,APphras
14565,войти i5,99i5_войти в историю,,Snom V в + историю,,,,APphras
14566,войти i6,99i6_войти в колею/в русло,,Snom V {в + колею / в + русло},,,,APphras
14567,войти i7,99i7_войти в курс дела,,Snom V в + курс + дела,,,,APphras
14568,войти i8,99i8_войти в подробности,,Snom V в + подробности,,,,APphras
14569,войти i9,99i9_войти в чье-л. положение,,Snom V в + APROacc + положение,,,,APphras
14575,вооружиться i1,99i1_вооружиться терпением,,Snom V терпением,,,,APphras
14576,вооружиться i2,99i2_вооружиться твердостью,,Snom V твердостью,,,,APphras
14577,впасть i1,99i1_впасть в детство,,Snom V в + детство,,,,APphras
14578,впасть i2,99i2_впасть в немилость,,Snom V в + немилость,,,,APphras
14579,впасть i3,99i3_впасть в серьезный / шутливый тон,,Snom V в + {серьезный / шутливый} + тон,,,,APphras
14580,вспомнить i1,99i1_вспомнить добром кого-л.,,Snom V добром Sacc,,,,APphras
14581,вставить i1,99i1_вставлять кому-л. палки в колеса,,Snom V Sdat палки в + колеса,,,преим. НВ,APphras
16453,встать 99i16,99i16_встать наперекор,встать наперекор,Snom V наперекор,-,,НВ вставать,egor
16454,встать 99i17,99i17_встать на дыбы,встать на дыбы,Snom V на + дыбы,-,,НВ вставать,egor
19283,встать 99i18,99i18_встать на пути у кого-л.,встать на пути у кого-л.,Snom V на + пути у + Sgen,-,,НВ вставать,olesar
14582,встать i1,99i1_встать с левой/не с той ноги,,Snom V {с + левой / не с + той} + ноги,,,,APphras
14591,встать i10,99i10_встать на учет,,Snom V на + учет,,,,APphras
14592,встать i11,99i11_встать поперек дороги кому-л.,,Snom V поперек + дороги Sdat,,,,APphras
14593,встать i12,99i12_встать поперек горла кому-л.,,Snom V поперек + горла Sdat,,,,APphras
14594,встать i13,99i13_встать на квартиру к кому-л.,,Snom V на + квартиру к + Sdat,,,,APphras
14595,встать i14,99i14_встать на колени перед кем-л.,,Snom V на + колени перед + Sins,,,,APphras
14596,встать i15,99i15_встать грудью за кого-л.,,Snom V грудью за + Sacc,,,,APphras
19284,встать i19,99i19_встать на трассу,И там уже встал на трассу и втопил.,Snom V на + Sacc,(жарг. об автомобиле),,НВ вставать,olesar
14583,встать i2,99i2_встать у (кормила) власти,,Snom V у + [кормила] + власти,,,,APphras
14584,встать i3,99i3_встать во главе чего-л.,,Snom V во + главе -> Sgen,,,,APphras
14585,встать i4,99i4_встать в позу,,Snom V в + позу,,,,APphras
14586,встать i5,99i5_встать в (первые) ряды кого-л.,,Snom V в + [первые] + ряды -> Sgen,,,,APphras
14587,встать i6,99i6_встать в строй,,Snom V в + строй,,,,APphras
14588,встать i7,99i7_встать на ноги,,Snom V на + ноги,,,,APphras
14589,встать i8,99i8_встать на путь чего-л.,Иван твердо встал на путь исправления.,Snom V {на + путь + Sgen / на + тропу + Sgen},,,НВ вставать,olesar
14590,встать i9,99i9_встать на чью-л. сторону,,Snom V на + APROacc + сторону,,,,APphras
14597,вступить i1,99i1_вступить в берега,,Snom V в + берега,,,,APphras
14598,вступить i2,99i2_вступить в свои права,,Snom V в + свои + права,,,,APphras
14599,вступить i3,99i3_вступить на путь чего-л.,,Snom V на + путь -> Sgen,,,,APphras
16987,вступить i4,99i4_вступить в строй,Вступила в строй новая электростанция.,Snom V в + строй,-,,НВ вступать,olesar
16988,вступить i5,99i5_Нельзя вступить в одну и ту же реку дважды,-,нельзя V в + одну + и + ту + же + реку дважды,-,,НВ вступать,olesar
14600,выбросить i1,99i1_выбросить лозунг / призыв,,Snom V {лозунг / призыв},,,,APphras
14601,выбросить i2,99i2_выбросить кого-что-л. из головы / памяти / сердца,,Snom V Sacc {из + головы / из + памяти / из + сердца},,,,APphras
14602,выбросить i3,99i3_выбросить что-л. за борт,,Snom V Sacc за + борт,,,,APphras
14603,выбросить i4,99i4_выбросить кого-л. на улицу,,Snom V Sacc на + улицу,,,,APphras
14604,вывести i1,99i1_вывести кого-л. из себя/из терпения,,Snom V Sacc {из + себя / из + терпения},,,,APphras
14605,вывести i2,99i2_вывести какой-л. балл/какую-л. отметку кому-л.,,Snom V {Aacc + балл / Aacc + отметку} Sdat,,,,APphras
14607,вывести i4,99i4_вывести кого-л. в расход,,Snom V Sacc в + расход,,,,APphras
14608,вывести i5,99i5_вывести кого-л. на дорогу,,Snom V Sacc на + [Aacc] + дорогу,,,,APphras
14609,вывести i6,99i6_вывести кого-л. на чистую воду,,Snom V Sacc на + чистую + воду,,,,APphras
14610,выдать i1,99i1_выдать кого-л. головой,,Snom V Sacc головой,,,,APphras
14611,выдать i2,99i2_выдать себя с головой,,Snom V себя с + головой,,,,APphras
14612,выдать i3,99i3_Не выдай(те)!,,Не выдай!,,,,APphras
14613,выдержать i1,99i1_выдержать столько-то изданий,,Snom V NUMacc + изданий,,,,APphras
14614,выдержать i2,99i2_выдержать паузу,,Snom V паузу,,,,APphras
14615,выдержать i3,99i3_выдержать роль,,Snom V роль,,,,APphras
14616,выдержать i4,99i4_выдержать характер,,Snom V характер,,,,APphras
14617,вызвать i1,99i1_вызвать что-л. к жизни,,Snom V Sacc к + жизни,,,,APphras
14618,вызвать i2,99i2_вызвать картины чего-л. в памяти,,Snom V картины + Sgen в + памяти,,,,APphras
14619,выиграть i1,99i1_выиграть время,,Snom V время,,,,APphras
14620,выиграть i2,99i2_выиграть в чьих-л. глазах,,Snom V в + APROloc + глазах,,,,APphras
14621,выиграть i3,99i3_выиграть в чьем-л. мнении,,Snom V в + APROloc + мнении,,,,APphras
14622,выйти i1,99i1_выйти наружу,,Snom V наружу,,,,APphras
14631,выйти i10,99i10_выйти из роли,,Snom V из + роли,,,,APphras
14632,выйти i11,99i11_выйти из себя,,Snom V из + себя,,,,APphras
14633,выйти i12,99i12_выйти из-под кисти / пера кого-л.,,Snom V {из-под + кисти + Sgen / из-под + пера + Sgen},,,,APphras
14634,выйти i13,99i13_выйти в люди,,Snom V в + люди,,,,APphras
14635,выйти i14,99i14_выйти в отставку,,Snom V в + отставку,,,,APphras
14636,выйти i15,99i15_выйти в тираж,,Snom V в + тираж,,,,APphras
14637,выйти i16,99i16_выйти на пенсию,,Snom V на + пенсию,,,,APphras
14638,выйти i17,99i17_выйти на первое место,,Snom V на + ANUMacc + место [{ADV / PRгде + Sx}],,,,APphras
14639,выйти i18,99i18_не выйти чем-л.,,Snom не V Sins,"(лицом, ростом, умом)",,НВ нет,APphras
14640,выйти i19,99i19_выйти сухим из воды,,Snom V сухим из + воды,,,,APphras
14623,выйти i2,99i2_выйти из берегов,,Snom V из + берегов,,,,APphras
14641,выйти i20,99i20_выйти боком кому-л.,,Snom V боком Sdat,,,,APphras
14642,выйти i21,99i21_выйти победителем в чем-л.,,Snom V победителем в + Sloc,,,,APphras
14624,выйти i3,99i3_выйти из головы/из памяти,,Snom V {из + головы / из + памяти},,,,APphras
14625,выйти i4,99i4_не выходить из головы/из ума,,Snom не V {из + головы / из + ума},,,СВ нет,APphras
14626,выйти i5,99i5_выйти [из границ из пределов/за границы чего-л.,,Snom V {из + границ + Sgen / из + пределов + Sgen / за + границы + Sgen},,,,APphras
14627,выйти i6,99i6_выйти из доверия,,Snom V из + доверия,,,,APphras
14628,выйти i7,99i7_выйти из колеи,,Snom V из + колеи,,,,APphras
14629,выйти i8,99i8_выйти из моды,,Snom V из + моды,,,,APphras
14630,выйти i9,99i9_выйти из положения,,Snom V из + положения,,,,APphras
14643,выкинуть i1,99i1_выкинуть кого-что-л. из головы / памяти / сердца,,Snom V Sacc {из + головы / из + памяти / из + сердца},,,,APphras
14644,выкинуть i2,99i2_выкинуть кого-л. на улицу,,Snom V Sacc на + улицу,,,,APphras
14645,"вылезти, вылезть i1",99i1_вылезти из кожи,,Snom V из + кожи [вон] [{Vger / чтобы + Vinf / чтобы + CL / CL / ради + Sgen}],,,,olesar
14646,вылететь i1,99i1_вылететь из головы/из памяти,,Snom V {из + головы / из + памяти},,,,APphras
14647,вылететь i2,99i2_вылететь в трубу,,Snom V в + трубу,,,,APphras
14648,вылететь i3,99i3_вылететь пулей/стрелой,,Snom V {пулей / стрелой},<разг.>,,,APphras
14649,вынести i1,99i1_вынести сор из избы,,Snom V сор из + избы,,,,APphras
14650,вынести i2,99i2_вынести что-л. за скобки,,Snom V Sacc за + скобки,,,,APphras
